Unnamed: 0;Total;Homem;Mulher;Dicofre
110726: União das freguesias de Moscavide e Portela;20922;9637;11285;110726
110727: União das freguesias de Sacavém e Prior Velho;24672;11514;13158;110727
110728: União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela;44453;21203;23250;110728
110729: União das freguesias de Santo Antão e São Julião do Tojal;8605;4158;4447;110729
110730: União das freguesias de Santo António dos Cavaleiros e Frielas;28522;13413;15109;110730
110902: Carvoeira;2848;1417;1431;110902
110904: Encarnação;4918;2407;2511;110904
110906: Ericeira;12359;5935;6424;110906
110909: Mafra;20781;10005;10776;110909
110911: Milharado;7645;3785;3860;110911
110913: Santo Isidoro;4396;2168;2228;110913
110918: União das freguesias de Azueira e Sobral da Abelheira;4434;2151;2283;110918
110919: União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário;3979;1904;2075;110919
110920: União das freguesias de Igreja Nova e Cheleiros;4693;2320;2373;110920
110921: União das freguesias de Malveira e São Miguel de Alcainça;9647;4587;5060;110921
110922: União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés;10815;5237;5578;110922
150601: Alhos Vedros;16146;7904;8242;150601
150603: Moita;17728;8370;9358;150603
150607: União das freguesias de Baixa da Banheira e Vale da Amoreira;30089;13963;16126;150607
150608: União das freguesias de Gaio-Rosário e Sarilhos Pequenos;2292;1111;1181;150608
150701: Canha;1566;788;778;150701
150704: Sarilhos Grandes;3243;1594;1649;150704
150709: União das freguesias de Atalaia e Alto Estanqueiro-Jardia;5379;2644;2735;150709
150710: União das freguesias de Montijo e Afonsoeiro;41404;19795;21609;150710
150711: União das freguesias de Pegões;4090;2232;1858;150711
111603: Odivelas;59586;27876;31710;111603
111608: União das freguesias de Pontinha e Famões;35111;16747;18364;111608
111609: União das freguesias de Póvoa de Santo Adrião e Olival Basto;18806;8725;10081;111609
111610: União das freguesias de Ramada e Caneças;34531;16376;18155;111610
111002: Barcarena;14451;6978;7473;111002
111009: Porto Salvo;15098;7173;7925;111009
111012: União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;47936;22066;25870;111012
111013: União das freguesias de Carnaxide e Queijas;36079;16758;19321;111013
111014: União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias;58094;26606;31488;111014
150802: Palmela;18790;9060;9730;150802
150803: Pinhal Novo;26989;12831;14158;150803
150804: Quinta do Anjo;14262;6942;7320;150804
150806: União das freguesias de Poceirão e Marateca;8811;4332;4479;150806
151002: Amora;49345;23162;26183;151002
151005: Corroios;50806;23977;26829;151005
151006: Fernão Ferro;20754;10060;10694;151006
151007: União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires;45602;21425;24177;151007
151103: Quinta do Conde;28089;13574;14515;151103
151101: Sesimbra (Castelo);20212;9891;10321;151101
151102: Sesimbra (Santiago);4083;1970;2113;151102
151207: Gâmbia-Pontes-Alto da Guerra;6809;3365;3444;151207
151208: Sado;5357;2645;2712;151208
151205: Setúbal (São Sebastião);52627;25041;27586;151205
151209: União das freguesias de Azeitão (São Lourenço e São Simão);20946;10113;10833;151209
151210: União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça);37757;17394;20363;151210
111102: Algueirão-Mem Martins;68649;32390;36259;111102
111115: Casal de Cambra;13347;6340;7007;111115
111105: Colares;7746;3686;4060;111105
111108: Rio de Mouro;49489;23265;26224;111108
111122: União das freguesias de Agualva e Mira-Sintra;41323;19152;22171;111122
111123: União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar;17262;8440;8822;111123
111125: União das freguesias de Massamá e Monte Abraão;47804;22105;25699;111125
111126: União das freguesias de Queluz e Belas;52414;24720;27694;111126
111127: União das freguesias de São João das Lampas e Terrugem;17993;8636;9357;111127
111128: União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim);29896;14500;15396;111128
111124: União das freguesias do Cacém e São Marcos;39683;18558;21125;111124
111412: União das freguesias de Alhandra, São João dos Montes e Calhandriz;12645;6041;6604;111412
111413: União das freguesias de Alverca do Ribatejo e Sobralinho;36465;17465;19000;111413
111414: União das freguesias de Castanheira do Ribatejo e Cachoeiras;7954;3806;4148;111414
111415: União das freguesias de Póvoa de Santa Iria e Forte da Casa;40871;19542;21329;111415
111408: Vialonga;21258;10261;10997;111408
111409: Vila Franca de Xira;18336;8563;9773;111409
